phone_id,test_id,tx_power,cal_confidence,rssi_offset,carriage_state
5,195,-24,1,8,LFSP
9,195,-29,3,2,LFPP
16,195,-27,1,3,Bag (adj)
8,195,-32,3,9,LFSP
2,195,-20,1,0,LFPP
14,195,-23,3,4,LFSP
7,195,-32,3,9,LFSP
17,195,0,3,,LIJP
1,195,-20,1,0,LFPP
12,195,-24,1,3,LFPP
10,195,-29,3,2,RFPP
15,195,-27,1,3,LFSP
18,196,-29,3,,HP
11,196,-24,1,3,LFSP
13,196,-23,3,4,Bag (adj)
5,196,-24,1,8,LFSP
9,196,-29,3,2,LFPP
16,196,-27,1,3,Bag (adj)
8,196,-32,3,9,LFSP
2,196,-20,1,0,LFPP
14,196,-23,3,4,LFSP
7,196,-32,3,9,LFSP
17,196,-29,3,,LIJP
1,196,-20,1,0,LFPP
12,196,-24,1,3,LFPP
10,196,-29,3,2,RFPP
15,196,-27,1,3,LFSP
15,197,-27,1,3,RBPP
13,197,-23,3,4,Bag (worn)
18,197,3,3,,RBPP
1,197,-20,1,0,LFSP
9,197,-29,3,2,Hand
16,197,-27,1,3,Bag (worn)
8,197,-32,3,9,Hand
2,197,-20,1,0,Hand
14,197,-23,3,4,LFPP
4,197,-23,1,11,LIJP
7,197,-32,3,9,Hand
17,197,0,3,,LFSP
12,197,-24,1,3,Hand
10,197,-29,3,2,Hand
11,197,-24,1,3,Hand
15,198,-27,1,3,RBPP
13,198,-23,3,4,Bag (worn)
9,198,-29,3,2,RBPP
1,198,-20,1,0,LFSP
18,198,0,3,,Hand
16,198,-27,1,3,Bag (worn)
8,198,-32,3,9,Hand
2,198,-20,1,0,Hand
14,198,-23,3,4,LFPP
4,198,-23,1,11,LIJP
7,198,-32,3,9,Hand
17,198,0,3,,LFSP
12,198,-24,1,3,Hand
10,198,-29,3,2,Hand
11,198,-24,1,3,Hand
15,199,-27,1,3,RBPP
13,199,-23,3,4,Bag (worn)
1,199,-20,1,0,RBPP
18,199,0,3,,LFSP
9,199,-29,3,2,Hand
16,199,-27,1,3,Bag (worn)
8,199,-32,3,9,Hand
2,199,-20,1,0,Hand
14,199,-23,3,4,LFPP
4,199,-23,1,11,LIJP
7,199,-32,3,9,Hand
17,199,0,3,,LFSP
12,199,-24,1,3,Hand
10,199,-29,3,2,Hand
11,199,-24,1,3,Hand
5,200,-24,1,8,RFSP
7,200,-32,3,9,RBPP
11,200,-24,1,3,LFSP
20,200,0,3,,RFPP
16,200,-27,1,3,LIJP
13,200,-23,3,4,LFPP
9,200,-29,3,2,Hand
1,200,-20,1,0,RFPP
5,201,-24,1,8,RFSP
7,201,-32,3,9,RBPP
20,201,0,3,,LFSP
11,201,-24,1,3,RFPP
16,201,-27,1,3,LIJP
13,201,-23,3,4,LFPP
9,201,-29,3,2,Hand
1,201,-20,1,0,RFPP
5,202,-24,1,8,RFSP
20,202,0,3,,RBPP
11,202,-24,1,3,LFSP
7,202,-32,3,9,RFPP
16,202,-27,1,3,LIJP
13,202,-23,3,4,LFPP
9,202,-29,3,2,Hand
1,202,-20,1,0,RFPP
10,203,-29,3,2,LFSP
2,203,-20,1,0,LFSP
18,203,3,3,,Hand
14,203,-23,3,4,LFHP
15,203,-27,1,3,LFSP
13,203,-23,3,4,Hand
19,203,3,3,,LFPP
16,203,-27,1,3,Hand
11,203,-24,1,3,Hand
9,203,-29,3,2,RFPP
1,203,-20,1,0,LFSP
5,203,-24,1,8,RFPP
7,203,-32,3,9,LFPP
17,203,3,3,,Bag (worn)
18,204,-23,3,,LFSP
2,204,-20,1,0,LFSP
10,204,-29,3,2,Hand
14,204,-23,3,4,LFHP
15,204,-27,1,3,LFSP
13,204,-23,3,4,Hand
19,204,-23,3,,LFPP
16,204,-27,1,3,Hand
11,204,-24,1,3,Hand
9,204,-29,3,2,RFPP
1,204,-20,1,0,LFSP
5,204,-24,1,8,RFPP
7,204,-32,3,9,LFPP
17,204,-23,3,,Bag (worn)
10,205,-29,3,2,LFSP
18,205,-23,3,,LFSP
2,205,-20,1,0,Hand
14,205,-23,3,4,LFHP
15,205,-27,1,3,LFSP
13,205,-23,3,4,Hand
19,205,-23,3,,LFPP
16,205,-27,1,3,Hand
11,205,-24,1,3,Hand
9,205,-29,3,2,RFPP
1,205,-20,1,0,LFSP
5,205,-24,1,8,RFPP
7,205,-32,3,9,LFPP
17,205,-23,3,,Bag (worn)
14,206,-23,3,4,LFSP
17,206,3,3,,LBPP
11,206,-24,1,3,LFSP
16,206,-27,1,3,RBPP
7,206,-32,3,9,Hand
12,206,-24,1,3,LFSP
10,206,-29,3,2,LBPP
9,206,-29,3,2,Hand
2,206,-20,1,0,Hand
15,206,-27,1,3,RFPP
